test_index,cid,description,ground_truth,generated,word_length,word_bucket,token_length,token_bucket,bertzct,bertz_bucket,maccs,valid
859,6455816,"The molecule is a hydroxypolyether in which a hydroxy-poly(propylene oxide) chain is connected to each of the methyl groups of neopentane. It is commonly used to crystallise proteins. In the diagram, a + b + c + d ~ 5. It has a role as a crystallisation adjutant.",CC(COCC(COCC(C)O)(COCC(C)O)COCC(C)O)O,C(CCO)COCCOCCO,48,1-64,73,65-96,245.51319717529654,100-300,0.5625,True
860,46891805,"The molecule is a 3-sn-phosphatidyl-L-serine in which the phosphatidyl acyl groups at positions 1 and 2 are specified as octadecanoyl and (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl respectively. It derives from an all-cis-docosa-4,7,10,13,16,19-hexaenoic acid and a hexadecanoic acid. It is a conjugate acid of a 1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoserine(1-).",CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CC,41,1-64,170,>160,1226.061142332405,>800,1.0,True
861,7020027,"The molecule is an L-glutamine derivative that is the amide obtained by formal condensation of the carboxy group of L-glutamic acid with the amino group of 2-naphthylamine. It has a role as a chromogenic compound. It is a N-(2-naphthyl)carboxamide, a L-glutamine derivative and an amino acid amide.",C1=CC=C2C=C(C=CC2=C1)NC(=O)[C@H](CCC(=O)N)N,C1=CC=C2C=C(C=CC2=C1)NC(=O)[C@H](CCC(=O)O)N,47,1-64,88,65-96,639.8061600336213,300-800,0.8947368421052632,True
862,288,The molecule is an amino-acid betaine that is butanoate substituted with a hydroxy group at position C-3 and a trimethylammonium group at C-4. It has a role as a human metabolite and a mouse metabolite. It derives from a butyrate. It is a conjugate base of a carnitinium.,C[N+](C)(C)CC(CC(=O)[O-])O,C[N+](C)(C)CC(=O)[O-])O,48,1-64,77,65-96,139.1113374466282,100-300,,False
863,5280550,"The molecule is a beta-D-glucoside resulting from the formal condensation of the phenolic hydroxy group of trans-sinapic acid with beta-D-gucopyranose. It is a dimethoxybenzene, a monosaccharide derivative, a methoxycinnamic acid and a beta-D-glucoside. It derives from a trans-sinapic acid. It is a conjugate acid of a 4-O-beta-D-glucosyl-trans-sinapate.",COC1=CC(=CC(=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)/C=C/C(=O)O,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OC[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC,47,1-64,121,97-128,661.2868513749238,300-800,,False
864,464,The molecule is an N-acylglycine in which the acyl group is specified as benzoyl. It has a role as a uremic toxin and a human blood serum metabolite. It is a conjugate acid of a N-benzoylglycinate.,C1=CC=C(C=C1)C(=O)NCC(=O)O,C1=CC=C(C=C1)C(=O)NCCC(=O)O,36,1-64,63,1-64,307.89566977313564,300-800,0.7575757575757576,True
865,70680302,"The molecule is a branched amino tetrasaccharide consisting of alpha-KDN, beta-D-galactose and N-acetyl-D-glucosamine residues linked sequentially (2->3) and (1->4), with an alpha-L-fucose residue linked (1->3) to the N-acetyl-D-glucosamine at the reducing end. It has a role as an epitope. It is a glucosamine oligosaccharide and an amino tetrasaccharide.",C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](OC([C@@H]2NC(=O)C)O)CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@@]4(C[C@@H]([C@H]([C@@H](O4)[C@@H]([C@@H](CO)O)O)O)O)C(=O)O)O)O)O)O,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)NC(=O)C)O[C@H]4[C@H]([C@H](OC([C@@H]4O)O)CO)O)O)CO)O)O)O,48,1-64,119,97-128,1219.189967583181,>800,,False
866,5281236,"The molecule is a carotenone that is beta-carotene in which the 4 position has undergone formal oxidation to afford the corresponding ketone. Isolated as orange-red crystals, it is widely distributed in marine invertebrates. It has a role as a bacterial metabolite, a marine metabolite, an animal metabolite and a cofactor. It derives from a hydride of a beta-carotene.",CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\\C)/C=C/C=C(\\C)/C=C/C2=C(C(=O)CCC2(C)C)C)/C)/C,CC1=C(C(CCC1)(C)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C/C=C(\\C)/C=C/C(=O)CCC2(C)\\C)\\C)/C)/C,58,1-64,90,65-96,1295.9572781560314,>800,,False
867,695679,"The molecule is a 1,2,4-oxadizole in which the hydrogens at positions 3 and 5 have been replaced by phenyl and thiophen-2-yl groups, respectively. It is used as a broad spectrum nematicidal seed treatment. It has a role as a nematicide and an agrochemical. It is a member of thiophenes and a 1,2,4-oxadiazole.",C1=CC=C(C=C1)C2=NOC(=N2)C3=CC=CS3,C1=CC=C(C=C1)C2=CC(=NO2)OC3=NC=CS=C3,52,1-64,94,65-96,572.1116751600968,300-800,0.5306122448979592,True
868,108158,"The molecule is an S-substituted glutathione that is glutathione in which the mercapto hydrogen has been replaced by a chloromethyl group. It has a role as an alkylating agent, a bacterial xenobiotic metabolite and a mouse metabolite. It is an organochlorine compound and a S-substituted glutathione. It is a conjugate acid of a S-(chloromethyl)glutathione(1-).",C(CC(=O)N[C@@H](CSCCl)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,C(CC(=O)N[C@@H](CSCl)C(=O)C(=O)CC[C@@H](C(=O)O)N,54,1-64,107,97-128,422.6315763202323,300-800,,False
869,91847324,"The molecule is a glucotriose consisting of D-glucopyranose, alpha-D-glucopyranose and beta-D-glucopyranose residues joined in sequence by two (1->4) glycosidic bonds. The configuration of the anomeric centre at the non-reducing terminus is not specified. It is a partially-defined glycan and a glucotriose.",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,41,1-64,94,65-96,635.0746547602489,300-800,1.0,True
870,53354912,"The molecule is a member of the class of hydroquinones that is benzene-1,4-diol substituted by a methoxy group at position 5 and a prop-en-1-yl group at position 2 which in turn is substituted by a 3-hydroxy-4-methoxyphenyl group at position 1. It has been isolated from Pterocarpus santalinus. It has a role as a metabolite and a plant metabolite. It is an aromatic ether and a member of hydroquinones.",COC1=C(C=C(C=C1)[C@H](C=C)C2=CC(=C(C=C2O)OC)O)O,COC1=C(C=C(C=C1)[C@H](CCC=O)[C@H](C2=CC(=C(C=C2)OC)O)O,68,65-96,114,97-128,693.6889197372219,300-800,,False
871,46878511,The molecule is the hydrochloride salt of (S)-cycrimine. It is a hydrochloride and a cycrimine hydrochloride. It contains a (S)-cycrimine. It is an enantiomer of a (R)-cycrimine hydrochloride.,C1CCN(CC1)CC[C@](C2CCCC2)(C3=CC=CC=C3)O.Cl,C1CCN(CC1)CC[C@@](C2CCCC2)(C3=CC=CC=C3)O.Cl,28,1-64,61,1-64,426.3211406279185,300-800,1.0,True
872,6918933,"The molecule is an organic cation obtained by protonation of the tertiary amino group of (R,R)-tramadol. It is an ammonium ion derivative and an organic cation. It is a conjugate acid of a (R,R)-tramadol. It is an enantiomer of a (S,S)-tramadol(1+).",C[NH+](C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,C[NH+](C)C[C@H]1C2=CC=C(C=C2)O,41,1-64,84,65-96,418.96488955011364,300-800,,False
873,86289912,"The molecule is a trehalose mycolate compound consisting of two C58 mycolate groups attached to the 6- and 6'-positions of alpha,alpha'-trehalose. A mycobacterial cell wall glycolipid. It has a role as a bacterial metabolite and an antineoplastic agent. It is a polyacyl alpha,alpha-trehalose and a trehalose mycolate.",CCCCCCCCCCCCCCCCCCCCCCCCCC(C(CCCCCCCCCCC1CC1CCCCCCCCCCCCCCCCCC)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COC(=O)C(CCCCCCCCCCC4CC4CCCCCCCCCCCCCCCCCC)C(CCCCCCCCCCCCCCCCCCCCCCCCC)O)O)O)O)O)O)O)O,CCCCCCCCCCCCCCC(=O)OCCC[C@H]1O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)COC(=O)C(C(O)CCCCCCC/C=C/CCCCCCCCCCCCCCCCCCCCC)C(O)CCCCCCC/C=C/CCCCCC,47,1-64,92,65-96,2529.108008153719,>800,0.9574468085106383,True
874,45266861,The molecule is a branched amino hexasaccharide consisting of the linear sequence alpha-Neu5Ac-(2->3)-beta-D-Gal-(1->3)-beta-D-GalNAc-(1->4)-beta-D-Gal-(1->4)-beta-D-Glc having a Neu5Ac residue attached to a galactose via an alpha-(2->3) linkage. The oligosaccharide of ganglioside GD1a.,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H]([C@@H](O[C@@H]([C@@H]3O)CO)O[C@H]4[C@H](O[C@H]([C@@H]([C@H]4O[C@@]5(C[C@@H]([C@H]([C@@H](O5)[C@@H]([C@@H](CO)O)O)NC(=O)C)O)C(=O)O)O)O[C@@H]6[C@H](O[C@H]([C@@H]([C@H]6O)O)O)CO)CO)NC(=O)C)CO)O)O,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)NC(=O)C)CO)O[C@@H]5[C@H](O[C@H]([C@@H]([C@H]5O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O,30,1-64,107,97-128,2319.017374909059,>800,,False
875,25164050,"The molecule is a member of the class of dihydroxy-1,4-benzoquinones that is asterriquinone in which the double bonds in both of the N-(3-methylbut-1-en-3-yl) groups have been reduced to single bonds. It is a member of asterriquinones and a member of dihydroxy-1,4-benzoquinones.",CCC(C)(C)N1C=C(C2=CC=CC=C21)C3=C(C(=O)C(=C(C3=O)O)C4=CN(C5=CC=CC=C54)C(C)(C)CC)O,CC(=CC(=O)C1=CC(C(=O)C=C1(O)C)C=C(C)C,41,1-64,87,65-96,1564.8484048843977,>800,,False
876,9543177,"The molecule is a member of the class of amino-nitrotoluenes that is 2-amino-6-nitrotoluene bearing an additional acetamido group at position 4. It has a role as a xenobiotic metabolite. It is an amino-nitrotoluene, a member of acetamides and an aromatic amide.",CC1=C(C=C(C=C1[N+](=O)[O-])NC(=O)C)N,CC(=O)NC1=CC=C(C=C()CN)[N+](=O)[O-],41,1-64,78,65-96,428.85590033190516,300-800,,False
877,121232693,"The molecule is a heterodetic cyclic peptide that is biosynthesised by an engineered strain of Escherichia coli It has a role as an Escherichia coli metabolite. It is a heterodetic cyclic peptide, a dithioacetal and a monohydroxyquinoline.",CCS[C@H]1[C@H]2C(=O)N([C@]3(C[C@@H]3C)C(=O)OC[C@H](C(=O)N[C@H](C(=O)N([C@@H](CS1)C(=O)N([C@]4(C[C@@H]4C)C(=O)OC[C@H](C(=O)N[C@H](C(=O)N2C)C)NC(=O)C5=NC6=CC=CC=C6C=C5O)C)C)C)NC(=O)C7=NC8=CC=CC=C8C=C7O)C,C1[C@H](C(=O)C2=C(C=C21)C(=O)N(CC3=NC(=NC(=O)C(=O)C5=CC=CC=CC=CC=C3)O,37,1-64,68,65-96,3205.3722303407612,>800,,False
878,9926791,"The molecule is a pyrrolopyrimidine that is pyrrolo[2,3-d]pyrimidine substituted at position 4 by an N-methyl,N-(1-cyanoacetyl-4-methylpiperidin-3-yl)amino moiety. Used as its citrate salt to treat moderately to severely active rheumatoid arthritis. It has a role as an EC 2.7.10.2 (non-specific protein-tyrosine kinase) inhibitor and an antirheumatic drug. It is a pyrrolopyrimidine, a N-acylpiperidine, a nitrile and a tertiary amino compound.",C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,CN1CCCCCC1=O)NC2=CC=C(C=C2C3=NNC(=N3)N)C)C#N,58,1-64,146,129-160,748.3535718086017,300-800,,False
879,87179336,The molecule is a primary fatty amide resulting from the formal condensation of the carboxy group of myristoleic acid with ammonia. It derives from a myristoleic acid.,CCCC/C=C\\CCCCCCCC(=O)N,CCCC/C=C\\CCCC(=O)NC,27,1-64,41,1-64,187.17436284790148,100-300,0.8571428571428571,True
880,5282310,The molecule is a N-acylsphingosine in which the ceramide N-acyl group is specified as tetradecanoyl (myristoyl). It derives from a tetradecanoic acid.,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)NC(=O)CCCCCCCCCCCCC)O,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)NC(=O)CCCCCCCCCCCCCCC)O,22,1-64,50,1-64,480.02118145414033,300-800,1.0,True
881,5366506,"The molecule is a carotenoid ether that is (3E,3'E)-1,1'-dihydroxy-3,3',4,4'-tetradehydro-1,1',2,2'-tetrahydro-psi,psi-carotene in which both hydroxyl hydrogens are replaced by methyl groups. It has a role as a bacterial metabolite.",C/C(=C\\C=C\\C(=C\\C=C\\C(=C\\C=C\\C=C(\\C=C\\C=C(\\C=C\\C=C(\\C=C\\CC(OC)(C)C)/C)/C)/C)\\C)\\C)/C=C/CC(OC)(C)C,C/C(=C\\C=C\\C(=C\\C=C\\C(=C\\C=C\\C=C(\\C=C\\C\\C=C(/C)\\C=C\\C=C(/C)\\C=C\\C(=O)C(C)(C)OC)\\C)\\C)/C=C/CC(C)(C)OC,27,1-64,91,65-96,1154.3502702390958,>800,,False
882,165000,"The molecule is an oxonium betaine that is the conjugate base of cyanin, arising from regioselective deprotonation of the 7-hydroxy group. Major structure at pH 7.3 It derives from a cyanidin cation. It is a conjugate base of a cyanin.",C1=CC(=C(C=C1C2=C(C=C3C(=CC(=O)C=C3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O2)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C=C3C(=CC(=O)C=C3O2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O,40,1-64,70,65-96,1455.2356546172618,>800,1.0,True
883,145864724,The molecule is a phenolate anion obtained by deprotonation of the 5-hydroxy group of rubrofusarin. It is the major microspecies at pH 7.3. It is a conjugate base of a rubrofusarin.,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)[O-],CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)OC)[O-],31,1-64,57,1-64,892.2742905385672,>800,0.9285714285714286,True
884,11859618,The molecule is conjugate acid of tropine arising from protonation of the tertiary amino group. It is a conjugate acid of a tropine.,C[NH+]1[C@@H]2CC[C@H]1CC(C2)O,C[NH+]1[C@@H]2CC[C@H]1CC(C2)C3=CC=CC=C3CO)C4=CC=CC=C4,23,1-64,36,1-64,123.21928094887363,100-300,,False
885,70678637,"The molecule is an inositol phosphophytoceramide(1-) having a tetracosanoyl group attached to the ceramide nitrogen, hydroxylation at C-4 of the long-chain base, and hydroxylation at C-2 and C-3 of the very-long-chain fatty acid. Major species at pH 7.3. It is a conjugate base of an Ins-1-P-Cer(t18:0/2,3-OH-24:0).",CCCCCCCCCCCCCCCCCCCCC[C@H]([C@@H](C(=O)N[C@@H](COP(=O)([O-])OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)[C@@H]([C@H](CCCCCCCCCCCCCC)O)O)O)O,CCCCCCCCCCCCCCCCCCCCCC(C(C(=O)N[C@@H](COP(=O)([O-])O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1OC2[C@H]([C@H]([C@@H]([C@H](O2)COP(=O)([O-])OC3[C@@H]([C@H](C([C@H]([C@H]3O)O)O)O)O)O)O)O)O)O)O)O)[C@@H](C(CCCCCCCCCCCCCC)O)O)O)O,46,1-64,112,97-128,1141.9363688653386,>800,0.9032258064516129,True
886,71668320,"The molecule is an octadecenoyl-CoA that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of (6Z)-octadecenoic acid. It is an 11,12-saturated fatty acyl-CoA and an octadecenoyl-CoA. It derives from a petroselinic acid. It is a conjugate acid of a (6Z)-octadecenoyl-CoA(4-).",CCCCCCCCCCC/C=C\\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,CCCCCCCCCCC/C=C\\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,48,1-64,113,97-128,2043.3338396694614,>800,1.0,True
887,53239716,The molecule is an amino disaccharide consisting of beta-D-galactose having an N-acetyl-beta-D-galactosaminyl residue attached at the 2-position. It is an amino disaccharide and a glycosylgalactose derivative.,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O)CO)O)O)CO)O)O,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O)CO)O)O)CO)O)O,26,1-64,62,1-64,479.8093794712674,300-800,1.0,True
888,6741,"The molecule is the 6alpha-stereoisomer of 6-methylprednisolone. It has a role as an anti-inflammatory drug, a neuroprotective agent, an antiemetic, an adrenergic agent, a xenobiotic and an environmental contaminant. It is a 6-methylprednisolone, a primary alpha-hydroxy ketone and a tertiary alpha-hydroxy ketone.",C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,C[C@]12CC[C@@H]([C@@H]([C@H]1[C@@H](C2)C(=O)C=C3(C)C(=O)O)C(C)(C)O,42,1-64,89,65-96,753.8020968349459,300-800,,False
889,439217,The molecule is a 2-amino-2-deoxy-D-glucopyranose 6-phosphate that has an alpha-configuration at the anomeric position. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It derives from an alpha-D-glucosamine. It is a conjugate acid of an alpha-D-glucosamine 6-phosphate(1-).,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O,41,1-64,103,97-128,281.7021006308989,100-300,1.0,True
890,86289641,The molecule is a polysaccharide derivative comprised of a [2)-alpha-L-Rhap(III)-(1->2)-alpha-L-Rhap(II)-(1->3)-alpha-L-Rhap(I)-(1->3)-beta-D-GlcpNAc-(1->] tetrasaccharide repeat modified by the (1->4) linkage of an alpha-D-glucosyl group to the Rha(I) residue and by addition of an acetyl group to 50% of the O-6 positions of the GlcNAc residue. The structure provided is representative of that in Shigella flexneri serotype 2a and shows the repeating unit containing the acetyl group on the GlcNAc residue. It has a role as an antigen.,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@H]3[C@H]([C@@H](O[C@H]([C@@H]3O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@H]5O)COC(=O)C)O)NC(=O)C)O)C)O)O)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H]([C@@H](O[C@@H]([C@H]3O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)O)OC(=O)C)O)O)CO)NC(=O)C)O)O)O,74,65-96,174,>160,1382.8343412474733,>800,0.9791666666666666,True
891,53481777,The molecule is an N-hydroxytetradecenoylsphingosine-1-phosphocholine in which the N-acyl group is specified as (9Z)-3-hydroxytetradec-9-enoyl. It has a role as a human urinary metabolite.,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CC(CCCCC/C=C\\CCCC)O)O,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CC(CCCCC/C=C\\CCCCCC)O)O,23,1-64,69,65-96,847.0495884518937,>800,1.0,True
892,23677060,The molecule is an inorganic sodium salt that is the monosodium salt of arsenic acid. It has a role as a carcinogenic agent. It contains an arsenate(1-).,O[As](=O)(O)[O-].[Na+],[O-][As](=O)([O-])[O-].[Na+],27,1-64,40,1-64,53.68367439558378,<100,0.8,True
893,6558437,The molecule is a piperazine-2-carboxylic acid having (R)-configuration. It is a conjugate acid of a (R)-piperazine-2-carboxylate. It is an enantiomer of a (S)-piperazine-2-carboxylic acid. It is a tautomer of a (R)-piperazine-2-carboxylic acid zwitterion.,C1CN[C@H](CN1)C(=O)O,C1CN[C@H](CN1)C(=O)O,33,1-64,97,97-128,109.52562235615692,100-300,1.0,True
894,16755646,The molecule is an alpha-amino-acid cation. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a conjugate base of an ornithinium(2+). It is a conjugate acid of an ornithine.,C(CC(C(=O)[O-])[NH3+])C[NH3+],C(CC(C(=O)[O-])[NH3+])C[NH3+],35,1-64,66,65-96,94.95878455585176,<100,1.0,True
895,57483975,"The molecule is an ammonium salt comprising equimolar amounts of chlorfenac(1-) anions and ammonium cations. An obsolete herbicide. It has a role as an agrochemical, a herbicide and a synthetic auxin. It contains a chlorfenac(1-).",C1=CC(=C(C(=C1Cl)CC(=O)[O-])Cl)Cl.[NH4+],C1=CC(=C(C(=C1Cl)CC(=O)[O-])Cl)Cl.[NH4+],35,1-64,63,1-64,354.6847828061791,300-800,1.0,True
896,15222911,"The molecule is a trimethoxyflavone that is tricin in which the hydroxy group at position 7 has been replaced by a methoxy group. It has been isolated from the stems of Sinocalamus affinis. It has a role as a plant metabolite. It is a trimethoxyflavone and a dihydroxyflavone. It derives from a 3',5'-di-O-methyltricetin.",COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C(=C3)OC)O)OC)O,COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)OC,53,1-64,96,65-96,979.2077061501074,>800,1.0,True
897,147311,The molecule is a member of the class of indoles that is indoline with hydroxy substituents at positions 5 and 6. It has a role as a metabolite. It is a member of indoles and a member of catechols. It derives from a hydride of an indoline.,C1CNC2=CC(=C(C=C21)O)O,C1C(C2=CC(=C(C=C2N1)O)O)O,47,1-64,65,65-96,267.3886867286258,100-300,0.8292682926829268,True
898,91862037,"The molecule is a disaccharide derivative consisting of alpha-L-threo-hex-4-enopyranuronic acid and 2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranose residues joined by a (1->4) glycosidic bond. It is an enol, an oligosaccharide sulfate and a disaccharide derivative.",C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)NS(=O)(=O)O)O)O[C@H]2[C@@H]([C@H](C(=C(O2)C(=O)O)O)O)O)OS(=O)(=O)O,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)NS(=O)(=O)O)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)COS(=O)(=O)O)O,30,1-64,101,97-128,944.5787089571049,>800,0.9375,True
899,4125251,"The molecule is a combined intercalating and chelating reagent. The iron chelate, prepared by adding Fe(NH4)2(SO4)2, effects random oxidative cleavage of DNA in the presence of O2 and a reducing agent. This activity is useful as a footprinting probe. It has a role as a chelator.",C[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=C(C=C4)NCCCNC(=O)CN(CCN(CC(=O)O)CC(=O)[O-])CC(=O)O)N)N,CC(=N)C(=O)[O-].[Fe][Fe],46,1-64,74,65-96,1763.5360164199687,>800,0.16417910447761194,True
900,86289180,"The molecule is a hexacosatetraenoate that is the conjugate base of (11Z,14Z,17Z,20Z)-hexacosatetraenoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3. It is a conjugate base of an (11Z,14Z,17Z,20Z)-hexacosatetraenoic acid.",CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCCCCCC(=O)[O-],CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCCCCCC(=O)[O-],34,1-64,98,97-128,443.34916865936026,300-800,1.0,True
901,444796,"The molecule is a single-stranded DNA oligonucleotide composed of three deoxythymidylic acid residues connected by 3'->5' phosphodiester linkages and terminated by a 5'-phosphate. It contains a dTMP 3'-end residue, a dTMP 5'-end residue and a thymidine 5'-monophosphate residue.",CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O[C@H]3C[C@@H](O[C@@H]3COP(=O)(O)O[C@H]4C[C@@H](O[C@@H]4COP(=O)(O)O)N5C=C(C(=O)NC5=O)C)N6C=C(C(=O)NC6=O)C)O,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O[C@H]3C[C@@H](O[C@@H]3COP(=O)(O)O[C@H]4C[C@@H](O[C@@H]4COP(=O)(O)O[C@H]5C[C@@H](O[C@@H]5CO)N6C=C(C(=O)NC6=O)C)O,38,1-64,80,65-96,2632.598489116592,>800,,False
902,6654,"The molecule is a pinene that is bicyclo[3.1.1]hept-2-ene substituted by methyl groups at positions 2, 6 and 6 respectively. It has a role as a plant metabolite.",CC1=CCC2CC1C2(C)C,CC1(CCC2C1(C2)C)C,27,1-64,48,1-64,186.21499122004107,100-300,0.4583333333333333,True
